epoch,accuracy,loss,val_accuracy,val_loss
0,1.0,0.41648343205451965,NA,NA
1,1.0,0.24532721936702728,NA,NA
2,1.0,0.13514944911003113,NA,NA
3,1.0,0.06440223753452301,NA,NA
4,1.0,0.034526802599430084,NA,NA
5,1.0,0.021091997623443604,NA,NA
6,1.0,0.014228261075913906,NA,NA
7,1.0,0.010332691483199596,NA,NA
8,1.0,0.007832616567611694,NA,NA
9,1.0,0.006172806024551392,NA,NA
10,1.0,0.00497882766649127,NA,NA
11,1.0,0.004112293478101492,NA,NA
12,1.0,0.0034392529632896185,NA,NA
13,1.0,0.0029240453150123358,NA,NA
14,1.0,0.0025071678683161736,NA,NA
15,1.0,0.002172823529690504,NA,NA
16,1.0,0.0018968137446790934,NA,NA
